id	Year	Postcode	Individuals	Taxable_income	Net_tax	Gross_interest	Net_rent	Net_capital_gain	Total_income	Total_deductions	Salary	Medicare_levy	Medicare_levy_surcharge	Total_work_related_expenses	Gifts	HELP_debt
200602034	2006	2034	11470	717861078	208423032	18869982	-6840625	35376255	762111028	43820288	546075050	9832017	562842	22369767	2497424	1921238
200602035	2006	2035	15075	782148652	202998191	24382447	-7707693	25453396	828049834	45334233	614222739	10817698	483477	24429678	2545019	1519076
200602036	2006	2036	11560	528710099	124415466	10962756	-9735094	11472541	555909337	27569844	457024075	7276049	324359	18099156	1525735	715281
200602037	2006	2037	6895	417843063	120725338	7536415	-5045445	9916016	445488245	27209702	332430197	5927818	383144	11098963	2348467	1291919
200602038	2006	2038	4765	322565352	95418937	5497182	-4420518	7212864	340005890	17337910	262704420	4661987	263918	9423747	1284721	890644
200602039	2006	2039	4550	328759987	99601105	5705042	-7163610	8200981	348015845	18949886	277469244	4686459	284077	10471855	1042820	742215
200602040	2006	2040	10180	618848063	173212931	9609712	-11925158	13589785	650191403	31209451	537613284	8889480	502898	19563906	1601746	1601855
200602041	2006	2041	8895	810584095	273127491	15498299	-10563832	45283415	864699610	53404056	581116511	11640589	533219	18421452	3464592	1361469
200602042	2006	2042	9620	504405062	132108752	6494125	-6089999	9836250	528185573	23549679	448647502	7167868	586048	15333513	1609502	1972013
200602043	2006	2043	3595	202641918	54252031	1897614	-3337435	2322889	212844995	10161209	190003828	2917430	235648	7231377	591599	959230
200602044	2006	2044	3520	162311832	37819209	2125971	-3349364	3538111	169855652	7471361	148679560	2282304	161799	5567512	466532	375265
200602045	2006	2045	3250	207513297	60704822	6680302	-1346380	4551097	218734969	11177809	148556574	2982855	81887	5014314	705666	204083
200602046	2006	2046	12680	760584250	211045550	19202472	-11573474	17640960	802584090	41464176	618877274	10814637	438878	23916102	2550607	1433787
200602047	2006	2047	6055	450377074	138547799	14990731	-5226333	19140238	480690972	30098051	320375108	6459164	237064	11606602	1822024	799167
200602048	2006	2048	4090	225578394	60246629	3273268	-3120875	2972540	237118909	11395454	197251816	3229702	208234	6998710	614050	840402
200602049	2006	2049	5205	278077710	73282136	3867521	-4258807	2473455	292248598	14050714	247975934	3970586	264983	8682424	951556	920679
200602050	2006	2050	3200	188321096	52410725	2337724	-3390932	3138096	197543560	9170535	171822692	2684063	212386	6441257	508489	868405
200602060	2006	2060	7975	644751121	207598969	18805230	-7618861	45741822	695358633	49254304	444350860	8923000	397190	15082763	3362100	1475091
200602061	2006	2061	3355	320694715	110035749	11658926	-2583733	30868811	354054048	33251175	200647818	4242098	191766	5913554	4134490	556776
200602062	2006	2062	3890	317116589	101304556	8048472	-3670689	13004778	337804178	20583964	236017978	4539719	138217	7132802	1699475	547539
200602063	2006	2063	3390	386742665	139822549	16068421	354813	21478311	420505587	33306948	217236831	5516275	78901	5072102	3009160	263763
200602064	2006	2064	5360	350729520	103130746	9978359	-3085486	11099863	371373326	20495331	273578628	4941029	175384	8470782	1498139	1016392
200602065	2006	2065	15575	1173094010	364460322	33538019	-13563239	57567067	1271125317	97635850	886614467	16486876	601396	27915931	25039876	2985104
200602066	2006	2066	14515	1160014413	371384379	35311925	-12711523	74502646	1239204350	78322280	792240633	16599242	427401	23207409	6312608	1599059
200602067	2006	2067	11540	705178178	201692676	25672407	-7577695	26006620	745962346	40663243	525571971	9528296	327297	15923636	3174708	1354534
200602068	2006	2068	8330	742518375	251046422	22460427	-7108719	48607509	792070761	48804960	474299479	10631486	215228	12940875	3020974	674085
200602069	2006	2069	7055	698559566	242984194	24879374	-3469610	41950790	754635799	55090744	392151338	10043965	166415	10111106	4402605	590724
200602070	2006	2070	6650	606371612	205699567	24744475	-5383969	32688546	652201152	45527524	356076457	8617909	121136	9162668	3449967	641195
200602071	2006	2071	6410	646389063	226280953	30335901	-2873019	44110530	702668193	55860180	320595373	9134865	129121	7981860	4718713	384641
200602072	2006	2072	3305	287622852	94911861	12390410	-2371081	15525547	313641122	25967005	163553534	4094274	57236	4147227	1470530	236438
200602073	2006	2073	8225	735502626	245576272	24064604	-6615563	34080657	787560117	51656186	448800515	10397043	174216	11870054	3174183	648699
200602074	2006	2074	11035	909356134	292676654	34754667	-8194554	57815268	976426433	66701765	536627272	12775806	161620	14688202	5478940	694696
200602075	2006	2075	9755	791951338	253873065	33754482	-7626253	52582444	852285250	60150028	475578178	11172121	147260	13668830	5378519	681791
200602076	2006	2076	11830	909538637	285415682	31835662	-11395886	49275570	974789343	64622498	568736221	12895767	225587	15802055	7510979	899870
200602077	2006	2077	16670	823549849	202986202	17413446	-14307428	13010125	860391360	36638711	713517176	11501726	477931	21798162	2464628	1627961
200602079	2006	2079	3585	186079036	47210991	2942201	-3757506	2849074	195833867	9612471	161965349	2638002	82425	4723864	709953	204821
200602080	2006	2080	885	43703486	10839666	662741	-1089162	1186880	45647066	1948306	37767522	615128	20785	1081629	127413	48910
200602081	2006	2081	2625	140372861	36132452	1954791	-3085624	2460594	146450190	6020416	121801227	2007385	77214	3446434	388808	158257
200602082	2006	2082	2795	146564487	37512290	2149263	-2959872	5739839	153811586	7241356	125115691	2095726	77629	3863247	673399	165598
200602083	2006	2083	750	36271092	8746048	1016180	-675022	952912	38670178	2373913	28532884	510547	22816	896442	89042	51345
200602084	2006	2084	1900	144738984	46231420	4661296	-1291164	14456287	160523653	15779393	85307095	2071651	47744	2681719	2938978	80945
200602085	2006	2085	6185	383268560	107545448	12282634	-4451946	19000033	408965563	25515986	272123508	5389792	111895	8978502	1188790	318747
200602086	2006	2086	6680	402347618	112027756	8907591	-7030483	15287446	423990717	21353318	311127155	5697845	150174	10091348	1273125	375644
200602087	2006	2087	6260	390591614	108737665	11952279	-3457831	12846467	413076170	22394085	282383975	5494663	153062	8559651	1293099	357521
200602088	2006	2088	16070	2039286745	758506118	77499652	-10702240	203193038	2232257009	191326006	1106216003	28667273	682241	27095394	18237917	1623895
200602089	2006	2089	7580	625364491	202640541	17780880	-6701866	38393024	673783697	47769851	446686389	8813262	365564	14551146	2543435	1461471
200602090	2006	2090	7285	662718377	222172268	20202746	-5828340	51408789	708671159	46149690	437714566	9331110	407416	12973344	3795461	1091675
200602092	2006	2092	3480	333678460	115348651	9816782	-2991967	46341122	357435529	23580305	180645085	4685920	87314	5359940	1476859	187862
200602093	2006	2093	10865	831270824	264376668	22254391	-7273816	51459490	888584166	56857639	570908704	11700148	326604	16968588	7190681	682122
200602094	2006	2094	3425	259627436	80394028	6637003	-1711405	12244145	274752220	15026542	182356655	3629352	153194	6285393	912224	280022
200602095	2006	2095	9100	665843286	211149188	18623699	-6323707	73013230	717722846	51477210	451669719	9243912	508964	14541211	5641463	915586
200602096	2006	2096	7865	474504943	133501167	9320965	-8334773	13033545	502514180	27446130	382781683	6717344	330651	14101449	1353202	777602
200602097	2006	2097	7445	440094427	121860136	12533723	-4670222	16498520	467118899	26846934	322189720	6200086	201032	10724306	1731408	426611
200602099	2006	2099	18975	942803951	237887195	21509597	-12381040	33674380	990831234	47580871	762456537	13145085	638784	27031577	3000304	1198532
200602100	2006	2100	9985	535018970	140393344	13178302	-6972323	16065361	564383290	29289853	417498229	7555974	273741	13701737	1645802	446245
200602101	2006	2101	9250	512360530	137382876	13135246	-7691057	19962291	541189982	28428297	379402716	7142566	290695	13747151	1586372	571240
200602102	2006	2102	2605	142188656	37588406	3313835	-2149461	5434296	150119227	7678613	113831949	2032725	75689	4340926	371256	115412
200602103	2006	2103	5350	301940206	81283419	11900518	-3384118	13896353	320757189	18704680	210633721	4268187	163452	7450176	830790	235816
200602104	2006	2104	1850	151304961	47372449	8612164	101053	14103078	166376726	14923029	67335449	2100471	39641	2081747	712985	58487
200602105	2006	2105	1110	79465148	23669672	3160124	-787222	3340666	86572257	7013253	47619482	1120057	33325	1515918	177954	57138
200602106	2006	2106	4945	332043363	98894680	9827154	-3664115	17700749	357304299	25078046	214570844	4710121	129569	8168154	1817692	256394
200602107	2006	2107	7865	544477794	166414234	17962613	-5870519	49289205	583455297	38459598	320753043	7712073	229115	12307332	1799155	419190
200602108	2006	2108	1025	112881178	39689284	5775858	-450167	18074288	131023099	17996451	34718355	1609775	29666	1140828	2959918	46592
200602110	2006	2110	4685	586452676	217700156	21199774	-4960986	45755314	631902412	44732304	304487546	8391356	137032	7333950	3763441	324443
200602111	2006	2111	7005	472008818	140418309	12575488	-5524670	23498702	499840518	27444301	345713463	6749931	217646	11309899	1816050	716116
200602112	2006	2112	12275	635497325	163848768	16570036	-11199315	14498549	675653784	39913997	521208230	8949025	345593	18091886	2234678	1060539
200602113	2006	2113	8565	426024986	106247006	10307300	-8729636	8043273	447043009	21097749	367414460	5919136	243662	12673899	1507160	771630
200602114	2006	2114	9845	488832448	121535014	10499622	-8538566	9411565	511558683	22635925	421770615	6844691	311947	14105406	1619532	1100236
200602115	2006	2115	3500	151823416	34585503	2259045	-3227532	2012638	159176998	7311024	132629987	2111197	138097	4658580	503670	291018
200602116	2006	2116	2300	101468096	23219958	1556592	-2350152	1220027	105824011	4323915	91456193	1414946	64739	3003788	285255	137493
200602117	2006	2117	8125	392279226	96435014	8887334	-9884364	15257390	411816551	19387286	319988876	5479383	212162	11091034	1170450	809146
200602118	2006	2118	10285	511155198	125992218	16656251	-11953227	11280052	540745507	29543476	410577501	7129110	216372	13719113	1909717	937894
200602119	2006	2119	5925	434312068	132092774	16771962	-6356175	25483492	466107985	31626000	282227391	6185785	111380	8384108	2847808	412896
200602120	2006	2120	10635	606219644	160648060	16682964	-11172020	16386146	639596702	33151834	482650853	8570715	209644	14706564	2439099	876998
200602121	2006	2121	12485	702853785	188636377	21777214	-15156594	19469198	741677896	38651523	555882055	9906027	258247	17466672	3116564	1286780
